Port Locode,Port,Published Port Locode,Published Port,Country of the UK,Is the Published Port Major or Minor,Published Port Lat,Published Port Long
GBABD,Aberdeen,GBABD,Aberdeen,Scotland,Major,57.143609,-2.0634873
GBBRS,Bristol,GBBRS,Bristol,England,Major,51.448193,-2.6035933
GBAVO,Avonmouth,GBBRS,Bristol,England,Major,51.448193,-2.6035933
GBPRU,Portbury,GBBRS,Bristol,England,Major,51.448193,-2.6035933
GBPTH,Portishead,GBBRS,Bristol,England,Major,51.448193,-2.6035933
GBITC,Itchenor,GBCST,Chichester,England,Major, , 
GBCYP,Clyde,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBARD,Ardrossan,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GB085,Arran,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBBOW,Bowling,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBCLY,Clydebank,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GB086,Cumbrae,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBDNU,Dunoon,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBFAS,Faslane,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBFNT,Finnart,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBGLW,Glasgow,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBGUR,Gourock,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBGRK,Greenock,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBHST,Hunterston,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBLGS,Largs,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBPGG,Port Glasgow,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBREN,Renfrew,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBRAY,Rothesay,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBTAB,Tarbert,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBWMB,Wemyss Bay,GBCYP,Clyde,Scotland,Major,55.865084,-4.3237846
GBFRH,Fingringhoe,GBCOL,Colchester,England,Major, , 
GBROW,Rowhedge,GBCOL,Colchester,England,Major, , 
GBWIV,Wivenhoe,GBCOL,Colchester,England,Major, , 
GBCSA,Colonsay,GBCSA,Colonsay,Scotland,Major, , 
GBMUL,Mull,GBCNU,Craignure,Scotland,Major, , 
GBCRN,Cromarty Firth,GBCRN,Cromarty Firth,Scotland,Major,57.68333333,-4.033333333
GBIVG,Invergordon,GBCRN,Cromarty Firth,Scotland,Major,57.68333333,-4.033333333
GBNGG,Nigg,GBCRN,Cromarty Firth,Scotland,Major,57.68333333,-4.033333333
GBSLN,Saltburn,GBCRN,Cromarty Firth,Scotland,Major,57.68333333,-4.033333333
GBTTS,Totnes,GBDTM,Dartmouth,England,Major, , 
GBDUN,Dundee,GBDUN,Dundee,Scotland,Major,56.46196324,-2.952554173
GBTHM,Topsham,GBEXM,Exmouth,England,Major, , 
