Year,Port Name,Cargo Code,Cargo Name,Cargo Group Code,Cargo Group Name,Direction,Tonnage,Units,TEU,Published Port Lat,Published Port Long,,
2000,Aberdeen,1,All Cargo,1,All Cargo,Inwards,1898,122,1,57.143609,-2.0634873,,
2000,Aberdeen,1,All Cargo,1,All Cargo,Outwards,1479,15,1,57.143609,-2.0634873,,
2000,Aberdeen,11,Liquefied gas,10,Liquid Bulk,Inwards,0,0,0,57.143609,-2.0634873,,
2000,Aberdeen,11,Liquefied gas,10,Liquid Bulk,Outwards,0,0,0,57.143609,-2.0634873,,
2000,Aberdeen,13,Oil products,10,Liquid Bulk,Inwards,885,0,0,57.143609,-2.0634873,,
2000,Aberdeen,13,Oil products,10,Liquid Bulk,Outwards,174,0,0,57.143609,-2.0634873,,
2000,Aberdeen,19,Other liquid bulk products,10,Liquid Bulk,Inwards,211,0,0,57.143609,-2.0634873,,
2000,Aberdeen,19,Other liquid bulk products,10,Liquid Bulk,Outwards,303,0,0,57.143609,-2.0634873,,
2000,Aberdeen,21,Ores,20,Dry Bulk,Inwards,46,0,0,57.143609,-2.0634873,,
2000,Aberdeen,21,Ores,20,Dry Bulk,Outwards,38,0,0,57.143609,-2.0634873,,
2000,Aberdeen,22,Coal,20,Dry Bulk,Outwards,4,0,0,57.143609,-2.0634873,,
2000,Aberdeen,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Inwards,31,0,0,57.143609,-2.0634873,,
2000,Aberdeen,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Outwards,53,0,0,57.143609,-2.0634873,,
2000,Aberdeen,29,Other dry bulk,20,Dry Bulk,Inwards,123,0,0,57.143609,-2.0634873,,
2000,Aberdeen,29,Other dry bulk,20,Dry Bulk,Outwards,27,0,0,57.143609,-2.0634873,,
2000,Aberdeen,31,20' freight units,30,Lo-Lo,Inwards,6,1,1,57.143609,-2.0634873,,
2000,Aberdeen,31,20' freight units,30,Lo-Lo,Outwards,10,1,1,57.143609,-2.0634873,,
2000,Aberdeen,32,40' freight units,30,Lo-Lo,Inwards,0,0,0,57.143609,-2.0634873,,
2000,Aberdeen,32,40' freight units,30,Lo-Lo,Outwards,0,0,0,57.143609,-2.0634873,,
2000,Aberdeen,34,Freight units >40',30,Lo-Lo,Inwards,0,0,0,57.143609,-2.0634873,,
2000,Aberdeen,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Inwards,6,1,0,57.143609,-2.0634873,,
2000,Aberdeen,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Outwards,7,1,0,57.143609,-2.0634873,,
2000,Aberdeen,52,"Passenger cars, motorcycles and accompanying trailers/caravans",50,Ro-Ro Self-Prop,Inwards,0,7,0,57.143609,-2.0634873,,
2000,Aberdeen,52,"Passenger cars, motorcycles and accompanying trailers/caravans",50,Ro-Ro Self-Prop,Outwards,0,8,0,57.143609,-2.0634873,,
2000,Aberdeen,53,Passenger buses,50,Ro-Ro Self-Prop,Inwards,0,0,0,57.143609,-2.0634873,,
2000,Aberdeen,53,Passenger buses,50,Ro-Ro Self-Prop,Outwards,0,0,0,57.143609,-2.0634873,,
2000,Aberdeen,56,Live animals on the hoof,50,Ro-Ro Self-Prop,Inwards,9,110,0,57.143609,-2.0634873,,
2000,Aberdeen,56,Live animals on the hoof,50,Ro-Ro Self-Prop,Outwards,0,1,0,57.143609,-2.0634873,,
2000,Aberdeen,61,Unaccompanied road goods trailers & semi-trailers,50,Ro-Ro Non-SP,Inwards,25,3,0,57.143609,-2.0634873,,
2000,Aberdeen,61,Unaccompanied road goods trailers & semi-trailers,50,Ro-Ro Non-SP,Outwards,47,4,0,57.143609,-2.0634873,,
2000,Aberdeen,63,"Rail wagons, shipborne port to port trailers, and shipborne barges engaged in goods transport",50,Ro-Ro Non-SP,Inwards,0,0,0,57.143609,-2.0634873,,
2000,Aberdeen,63,"Rail wagons, shipborne port to port trailers, and shipborne barges engaged in goods transport",50,Ro-Ro Non-SP,Outwards,0,0,0,57.143609,-2.0634873,,
2000,Aberdeen,91,Forestry products,90,Other General Cargo,Inwards,158,0,0,57.143609,-2.0634873,,
2000,Aberdeen,91,Forestry products,90,Other General Cargo,Outwards,67,0,0,57.143609,-2.0634873,,
2000,Aberdeen,92,Iron and steel products,90,Other General Cargo,Inwards,197,0,0,57.143609,-2.0634873,,
2000,Aberdeen,92,Iron and steel products,90,Other General Cargo,Outwards,230,0,0,57.143609,-2.0634873,,
2000,Aberdeen,99,Other general cargo & containers <20',90,Other General Cargo,Inwards,200,0,0,57.143609,-2.0634873,,
2000,Aberdeen,99,Other general cargo & containers <20',90,Other General Cargo,Outwards,520,0,0,57.143609,-2.0634873,,
2000,Aberdeen,100,All Main Freight,0,Main Freight,Inwards,37,5,1,57.143609,-2.0634873,,
2000,Aberdeen,100,All Main Freight,0,Main Freight,Outwards,64,6,1,57.143609,-2.0634873,,
2000,Belfast,1,All Cargo,1,All Cargo,Inwards,9736,556,96,54.596391,-5.9301829,,
2000,Belfast,1,All Cargo,1,All Cargo,Outwards,2748,480,97,54.596391,-5.9301829,,
2000,Belfast,11,Liquefied gas,10,Liquid Bulk,Inwards,75,0,0,54.596391,-5.9301829,,
2000,Belfast,13,Oil products,10,Liquid Bulk,Inwards,2612,0,0,54.596391,-5.9301829,,
2000,Belfast,19,Other liquid bulk products,10,Liquid Bulk,Inwards,326,0,0,54.596391,-5.9301829,,
2000,Belfast,22,Coal,20,Dry Bulk,Inwards,668,0,0,54.596391,-5.9301829,,
2000,Belfast,22,Coal,20,Dry Bulk,Outwards,58,0,0,54.596391,-5.9301829,,
2000,Belfast,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Inwards,1189,0,0,54.596391,-5.9301829,,
2000,Belfast,29,Other dry bulk,20,Dry Bulk,Inwards,756,0,0,54.596391,-5.9301829,,
2000,Belfast,29,Other dry bulk,20,Dry Bulk,Outwards,575,0,0,54.596391,-5.9301829,,
2000,Belfast,31,20' freight units,30,Lo-Lo,Inwards,428,25,25,54.596391,-5.9301829,,
2000,Belfast,31,20' freight units,30,Lo-Lo,Outwards,59,24,24,54.596391,-5.9301829,,
2000,Belfast,32,40' freight units,30,Lo-Lo,Inwards,453,32,63,54.596391,-5.9301829,,
2000,Belfast,32,40' freight units,30,Lo-Lo,Outwards,260,33,66,54.596391,-5.9301829,,
2000,Belfast,33,Freight units >20' & <40',30,Lo-Lo,Inwards,51,2,3,54.596391,-5.9301829,,
2000,Belfast,33,Freight units >20' & <40',30,Lo-Lo,Outwards,1,3,4,54.596391,-5.9301829,,
2000,Belfast,34,Freight units >40',30,Lo-Lo,Inwards,23,2,5,54.596391,-5.9301829,,
2000,Belfast,34,Freight units >40',30,Lo-Lo,Outwards,11,2,4,54.596391,-5.9301829,,
2000,Belfast,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Inwards,1018,64,0,54.596391,-5.9301829,,
2000,Belfast,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Outwards,688,67,0,54.596391,-5.9301829,,
