Year,Port Name,Direction,Cargo Group Name,Tonnage,Published Port Lat,Published Port Long
2000,Aberdeen,Inwards,All Cargo,1898,57.143609,-2.0634873
2000,Aberdeen,Inwards,Dry Bulk,200,57.143609,-2.0634873
2000,Aberdeen,Inwards,Liquid Bulk,1096,57.143609,-2.0634873
2000,Aberdeen,Inwards,Lo-Lo,6,57.143609,-2.0634873
2000,Aberdeen,Inwards,Main Freight,37,57.143609,-2.0634873
2000,Aberdeen,Inwards,Other General Cargo,555,57.143609,-2.0634873
2000,Aberdeen,Inwards,Ro-Ro Non-SP,25,57.143609,-2.0634873
2000,Aberdeen,Inwards,Ro-Ro Self-Prop,15,57.143609,-2.0634873
2000,Aberdeen,Outwards,All Cargo,1479,57.143609,-2.0634873
2000,Aberdeen,Outwards,Dry Bulk,122,57.143609,-2.0634873
2000,Aberdeen,Outwards,Liquid Bulk,477,57.143609,-2.0634873
2000,Aberdeen,Outwards,Lo-Lo,10,57.143609,-2.0634873
2000,Aberdeen,Outwards,Main Freight,64,57.143609,-2.0634873
2000,Aberdeen,Outwards,Other General Cargo,817,57.143609,-2.0634873
2000,Aberdeen,Outwards,Ro-Ro Non-SP,47,57.143609,-2.0634873
2000,Aberdeen,Outwards,Ro-Ro Self-Prop,7,57.143609,-2.0634873
2000,Belfast,Inwards,All Cargo,9736,54.596391,-5.9301829
2000,Belfast,Inwards,Dry Bulk,2613,54.596391,-5.9301829
2000,Belfast,Inwards,Liquid Bulk,3013,54.596391,-5.9301829
2000,Belfast,Inwards,Lo-Lo,955,54.596391,-5.9301829
2000,Belfast,Inwards,Main Freight,3662,54.596391,-5.9301829
2000,Belfast,Inwards,Other General Cargo,316,54.596391,-5.9301829
2000,Belfast,Inwards,Ro-Ro Non-SP,1704,54.596391,-5.9301829
2000,Belfast,Inwards,Ro-Ro Self-Prop,1136,54.596391,-5.9301829
2000,Belfast,Outwards,All Cargo,2748,54.596391,-5.9301829
2000,Belfast,Outwards,Dry Bulk,633,54.596391,-5.9301829
